student_id,name,age,quiz_score_1,quiz_score_2,quiz_score_3,assignment_score_1,assignment_score_2,math_engagement_time,science_engagement_time,history_engagement_time,login_frequency,content_completion_rate,learning_style_auditory,learning_style_kinesthetic,learning_style_visual,cluster,recommendation,learning_style,personalized_recommendation
1,Charles Martin,0.8181818181818181,0.9795918367346936,0.18367346938775508,0.46938775510204067,0.6734693877551019,0.26530612244897944,0.09174311926605505,0.07339449541284404,0.944954128440367,0.5,0.9999999999999998,False,True,False,1,Balanced Materials,kinesthetic,"Balanced Resources with Interactive Simulations, Exercises"
2,Anthony Hubbard,0.7272727272727273,0.06122448979591821,0.16326530612244894,0.40816326530612224,0.9183673469387754,0.40816326530612224,0.06422018348623854,0.5779816513761468,0.4128440366972478,0.875,0.3877551020408161,True,False,False,0,Advanced Resources,kinesthetic,"Advanced Materials with Interactive Simulations, Exercises"
3,Stanley Bradford,0.18181818181818188,0.9999999999999998,0.36734693877551017,0.2448979591836733,0.6326530612244896,0.7755102040816324,0.42201834862385323,0.4311926605504587,0.3944954128440367,0.0,0.7142857142857142,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
4,William Church,0.45454545454545436,0.4489795918367345,0.4897959183673468,0.5510204081632653,0.06122448979591821,0.020408163265305923,0.07339449541284404,0.3761467889908257,0.8348623853211009,0.25,0.9591836734693875,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
5,Connie Perry,0.8181818181818181,0.9183673469387754,0.8163265306122447,0.204081632653061,0.9795918367346936,0.8367346938775508,0.8073394495412844,0.6513761467889908,0.3944954128440367,1.0,0.6326530612244896,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
6,Katherine Martin,0.2727272727272727,0.6326530612244896,0.18367346938775508,0.5510204081632653,0.346938775510204,0.020408163265305923,0.3302752293577982,0.44036697247706424,0.7981651376146789,0.875,0.5918367346938773,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
7,Patricia Henderson,0.0,0.4897959183673468,0.9387755102040816,0.36734693877551017,0.36734693877551017,0.7755102040816324,0.853211009174312,0.027522935779816515,0.3486238532110092,0.875,0.7959183673469385,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
8,Jessica Church,0.18181818181818188,0.510204081632653,0.9591836734693875,0.16326530612244894,0.22448979591836715,0.36734693877551017,0.11009174311926606,0.45871559633027525,0.6605504587155964,0.125,0.7755102040816324,True,False,False,0,Advanced Resources,auditory,"Advanced Materials with Podcasts, Narrated Slides"
9,Caroline Martinez,0.0,0.7755102040816324,0.693877551020408,0.857142857142857,0.7755102040816324,0.5714285714285712,0.8073394495412844,0.42201834862385323,0.3119266055045872,0.25,0.5510204081632653,True,False,False,0,Advanced Resources,auditory,"Advanced Materials with Podcasts, Narrated Slides"
10,David Lewis,0.2727272727272727,0.7346938775510203,0.693877551020408,0.16326530612244894,0.5510204081632653,0.06122448979591821,0.10091743119266056,0.1651376146788991,0.47706422018348627,0.375,0.8367346938775508,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
11,Jeffery Bonilla,0.36363636363636354,0.7142857142857142,0.6530612244897958,0.12244897959183665,0.1428571428571428,0.510204081632653,0.4036697247706422,0.12844036697247707,0.21100917431192662,0.75,0.6734693877551019,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
12,Robert West,0.36363636363636354,0.06122448979591821,0.9591836734693875,0.30612244897959173,0.6734693877551019,0.3265306122448979,0.5779816513761468,0.3944954128440367,0.5045871559633027,0.375,0.9795918367346936,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
13,Matthew Ramos,0.909090909090909,0.9999999999999998,0.18367346938775508,0.5510204081632653,0.3265306122448979,0.2448979591836733,0.5596330275229359,0.5412844036697247,0.853211009174312,0.25,0.0,True,False,False,0,Advanced Resources,kinesthetic,"Advanced Materials with Interactive Simulations, Exercises"
14,Terry Myers,0.7272727272727273,0.3265306122448979,0.7755102040816324,0.36734693877551017,0.04081632653061207,0.8775510204081631,0.45871559633027525,0.6605504587155964,0.4311926605504587,0.625,0.30612244897959173,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
15,Colton Shaw,0.45454545454545436,0.7142857142857142,0.18367346938775508,0.5510204081632653,0.0,0.6122448979591835,0.23853211009174313,0.9266055045871561,0.9174311926605506,0.125,0.5510204081632653,False,False,True,2,Remedial Support,kinesthetic,"Remedial Support with Interactive Simulations, Exercises"
16,John Pena,0.5454545454545452,0.510204081632653,0.8367346938775508,0.0,0.3265306122448979,0.5510204081632653,0.981651376146789,0.3302752293577982,0.47706422018348627,1.0,0.26530612244897944,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
17,Ronald Johnson,0.6363636363636365,0.8163265306122447,0.5510204081632653,0.1020408163265305,0.8163265306122447,0.22448979591836715,0.3486238532110092,0.26605504587155965,0.22935779816513763,0.75,0.40816326530612224,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
18,Bonnie Castaneda,0.2727272727272727,0.7959183673469385,0.9999999999999998,0.6530612244897958,0.22448979591836715,0.6530612244897958,0.9724770642201835,0.743119266055046,0.7981651376146789,1.0,0.6122448979591835,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
19,Patrick Michael,0.7272727272727273,0.8979591836734693,0.8979591836734693,0.6530612244897958,0.5306122448979591,0.3877551020408161,0.5963302752293579,0.5045871559633027,0.1926605504587156,0.75,0.4489795918367345,True,False,False,0,Advanced Resources,auditory,"Advanced Materials with Podcasts, Narrated Slides"
20,Sarah Green,0.09090909090909083,0.6530612244897958,0.12244897959183665,0.7755102040816324,0.7346938775510203,0.08163265306122436,0.7889908256880734,0.30275229357798167,0.3853211009174312,0.625,0.30612244897959173,False,False,True,2,Remedial Support,kinesthetic,"Remedial Support with Interactive Simulations, Exercises"
21,Megan Patton,0.36363636363636354,0.5918367346938773,0.4897959183673468,0.7755102040816324,0.2857142857142856,0.30612244897959173,0.24770642201834864,0.6330275229357799,0.29357798165137616,0.375,0.3877551020408161,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
22,Larry Costa,0.5454545454545452,0.22448979591836715,0.510204081632653,0.26530612244897944,0.04081632653061207,0.5918367346938773,0.0,0.7247706422018348,0.5596330275229359,0.5,0.26530612244897944,False,True,False,1,Balanced Materials,auditory,"Balanced Resources with Podcasts, Narrated Slides"
23,Jason Curtis,0.45454545454545436,0.4897959183673468,0.5510204081632653,0.7551020408163263,0.6122448979591835,0.1428571428571428,0.3302752293577982,0.3302752293577982,0.5871559633027523,0.25,0.7959183673469385,False,True,False,1,Balanced Materials,kinesthetic,"Balanced Resources with Interactive Simulations, Exercises"
24,Jeffrey Oneal,0.9999999999999998,0.7755102040816324,0.510204081632653,0.7755102040816324,0.7551020408163263,0.9387755102040816,0.7339449541284404,0.45871559633027525,0.6146788990825688,0.375,0.7959183673469385,False,False,True,2,Remedial Support,kinesthetic,"Remedial Support with Interactive Simulations, Exercises"
25,Tracie Mcguire,0.2727272727272727,0.6326530612244896,0.5714285714285712,0.46938775510204067,0.4489795918367345,0.8979591836734693,0.9541284403669724,0.14678899082568808,0.6146788990825688,0.0,0.510204081632653,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
26,Richard Miller,0.9999999999999998,0.7755102040816324,0.4285714285714284,0.510204081632653,0.26530612244897944,0.1428571428571428,0.3486238532110092,0.045871559633027525,0.9357798165137615,0.625,0.40816326530612224,False,False,True,2,Remedial Support,kinesthetic,"Remedial Support with Interactive Simulations, Exercises"
27,Christina Brown,0.8181818181818181,0.2448979591836733,0.4285714285714284,0.08163265306122436,0.7142857142857142,0.7346938775510203,0.27522935779816515,0.5779816513761468,0.027522935779816515,0.75,0.346938775510204,False,True,False,1,Balanced Materials,auditory,"Balanced Resources with Podcasts, Narrated Slides"
28,Ryan Padilla,0.7272727272727273,0.5918367346938773,0.5306122448979591,0.693877551020408,0.8163265306122447,0.9183673469387754,0.027522935779816515,0.6513761467889908,0.23853211009174313,0.625,0.204081632653061,True,False,False,0,Advanced Resources,kinesthetic,"Advanced Materials with Interactive Simulations, Exercises"
29,Gregory Boyd,0.09090909090909083,0.510204081632653,0.9591836734693875,0.510204081632653,0.693877551020408,0.9795918367346936,0.01834862385321101,0.5137614678899083,0.5137614678899083,1.0,0.7755102040816324,False,True,False,1,Balanced Materials,auditory,"Balanced Resources with Podcasts, Narrated Slides"
30,John Flores,0.36363636363636354,0.693877551020408,0.36734693877551017,0.40816326530612224,0.8163265306122447,0.1020408163265305,0.7706422018348624,0.30275229357798167,0.9266055045871561,0.375,0.7551020408163263,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
31,Danielle Evans,0.2727272727272727,0.16326530612244894,0.5918367346938773,0.26530612244897944,0.204081632653061,0.26530612244897944,0.9266055045871561,0.29357798165137616,0.45871559633027525,0.125,0.06122448979591821,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
32,Justin Harris,0.909090909090909,0.9999999999999998,0.2857142857142856,0.06122448979591821,0.3265306122448979,0.8775510204081631,0.26605504587155965,0.9633027522935781,0.9908256880733947,0.75,0.06122448979591821,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
33,Samantha Pham,0.0,0.020408163265305923,0.2448979591836733,0.6530612244897958,0.7959183673469385,0.510204081632653,0.11926605504587157,0.9908256880733947,0.4954128440366973,0.875,0.3265306122448979,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
34,Daniel Johnson,0.7272727272727273,0.4897959183673468,0.4489795918367345,0.4489795918367345,0.020408163265305923,0.9591836734693875,0.8348623853211009,0.5412844036697247,0.5688073394495413,0.875,0.3877551020408161,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
35,Kayla Molina,0.0,0.693877551020408,0.020408163265305923,0.2448979591836733,0.204081632653061,0.9183673469387754,0.1926605504587156,0.6055045871559633,1.0,0.0,0.510204081632653,True,False,False,0,Advanced Resources,auditory,"Advanced Materials with Podcasts, Narrated Slides"
36,Michael Byrd,0.9999999999999998,0.4897959183673468,0.26530612244897944,0.9183673469387754,0.3877551020408161,0.7551020408163263,0.6330275229357799,0.889908256880734,0.6880733944954128,0.75,0.1428571428571428,False,False,True,2,Remedial Support,visual,"Remedial Support with Video Lectures, Infographics"
37,Joshua Underwood,0.8181818181818181,0.6734693877551019,0.6122448979591835,0.5714285714285712,0.9387755102040816,0.8775510204081631,0.22018348623853212,0.7706422018348624,0.3577981651376147,0.5,0.5510204081632653,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
38,Karen Hahn,0.909090909090909,0.5306122448979591,0.0,0.5510204081632653,0.46938775510204067,0.1428571428571428,0.9633027522935781,0.9908256880733947,0.5871559633027523,0.125,0.1428571428571428,False,False,True,2,Remedial Support,auditory,"Remedial Support with Podcasts, Narrated Slides"
39,Stephanie Martinez,0.8181818181818181,0.26530612244897944,0.8979591836734693,0.7755102040816324,0.204081632653061,0.5510204081632653,0.4862385321100918,0.81651376146789,0.7247706422018348,0.0,0.9387755102040816,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
40,Andrea Brown,0.36363636363636354,0.0,0.1020408163265305,0.6530612244897958,0.510204081632653,0.4285714285714284,0.9908256880733947,0.6697247706422019,0.1743119266055046,1.0,0.5306122448979591,False,True,False,1,Balanced Materials,visual,"Balanced Resources with Video Lectures, Infographics"
41,Oscar Sanchez,0.909090909090909,0.04081632653061207,0.12244897959183665,0.6122448979591835,0.8367346938775508,0.9795918367346936,0.3486238532110092,0.13761467889908258,0.9724770642201835,0.75,0.346938775510204,False,True,False,1,Balanced Materials,auditory,"Balanced Resources with Podcasts, Narrated Slides"
42,Francisco Wallace,0.45454545454545436,0.204081632653061,0.346938775510204,0.8775510204081631,0.7959183673469385,0.2448979591836733,0.5045871559633027,0.743119266055046,0.5963302752293579,0.125,0.0,True,False,False,0,Advanced Resources,visual,"Advanced Materials with Video Lectures, Infographics"
